"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)"
"Dimension: Environmental sustainability"
"SDG 9.4 By 2030, upgrade infrastructure and retrofit industries to make them sustainable, with increased resource-use efficiency and greater adoption of clean and environmentally sound technologies and industrial processes, with all countries taking action in accordance with their respective capabilities"
"Definition: Human-originated carbon dioxide emissions stemming from the burning of fossil fuels, gas flaring and cement manufacture, expressed in kilograms per unit of gross domestic product (GDP) in constant 2010 US dollars. Carbon dioxide emitted by forest biomass through depletion of forest areas is included."
"Source: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"165"," Lesotho","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"164"," Madagascar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"95"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"184"," Mali","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"157"," Mauritania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174"," Malawi","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115"," Palestine, State of","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"160"," Rwanda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"151"," Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182"," Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135"," Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"138"," Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"141"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104"," Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"159"," Uganda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"140"," Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","0.34","","0.32","","0.29","","0.28","","0.27","","0.27","","0.26","","0.25","","0.24","","0.24",""
" ","High human development","0.39","","0.44","","0.41","","0.42","","0.41","","0.41","","0.39","","0.37","","0.36","","0.34",""
" ","Medium human development","0.27","","0.25","","0.26","","0.25","","0.25","","0.25","","0.25","","0.24","","0.23","","0.23",""
" ","Low human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","0.35","","0.37","","0.36","","0.36","","0.36","","0.35","","0.34","","0.33","","0.32","","0.31",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","0.26","","0.26","","0.28","","0.28","","0.29","","0.29","","0.30","","0.30","","0.29","","0.29",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Europe and Central Asia","0.51","","0.41","","0.38","","0.36","","0.36","","0.33","","0.31","","0.30","","0.29","","0.29",""
" ","Latin America and the Caribbean","0.20","","0.20","","0.19","","0.18","","0.19","","0.19","","0.18","","0.18","","0.19","","0.18",""
" ","South Asia","0.32","","0.30","","0.29","","0.29","","0.29","","0.29","","0.29","","0.28","","0.26","","0.26",""
